obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,16667.5,,2.97e+01,E,59935.370,60535.34,3s.8f,3F*,2,3s.10d,3D,3,,"T6298c72,LS",,
,16801.4,,1.00e+04,C+,59707.11,60302.30,3s.9s,1S,0,3s.10p,1P*,1,,T6298c72,,
,17268.3,,2.09e+04,B,59318.764,59897.86,3s.7d,3D,3,3s.9p,3P*,2,,"T6298c72,LS",,
,17268.6,,1.86e+04,B,59318.775,59897.86,3s.7d,3D,2,3s.9p,3P*,1,,"T6298c72,LS",,
,17268.6,,3.74e+03,C+,59318.775,59897.86,3s.7d,3D,2,3s.9p,3P*,2,,"T6298c72,LS",,
,17269.2,,6.22e+03,C+,59318.793,59897.86,3s.7d,3D,1,3s.9p,3P*,1,,"T6298c72,LS",,
,17269.2,,2.48e+04,C+,59318.793,59897.86,3s.7d,3D,1,3s.9p,3P*,0,,"T6298c72,LS",,
,17269.2,,2.48e+02,D+,59318.793,59897.86,3s.7d,3D,1,3s.9p,3P*,2,,"T6298c72,LS",,
,17518.7,,1.91e+05,B,58009.41,58580.23,3s.7s,1S,0,3s.7p,1P*,1,,T6298c72,,
,17954,,1.94e+05,B,58023.246,58580.23,3s.6d,1D,2,3s.7p,1P*,1,,T6298c72,,
,18108.4,,2.38e+05,B+,58023.246,58575.477,3s.6d,1D,2,3s.6f,1F*,3,,T6298c72,,
,18178.3,,1.32e+05,B,59400.763,59950.87,3s.7f,3F*,3,3s.8g,3G,4,,"T6298c72,LS",,
,18178.3,,8.82e+03,B,59400.763,59950.87,3s.7f,3F*,4,3s.8g,3G,4,,"T6298c72,LS",,
,18178.3,,1.41e+05,B,59400.763,59950.87,3s.7f,3F*,4,3s.8g,3G,5,,"T6298c72,LS",,
,18178.3,,1.41e+05,B,59400.763,59950.87,3s.7f,1F*,3,3s.8g,1G,4,,T6298c72,,
,18563.7,,3.77e+04,B,59342.51,59881.196,3s.8p,3P*,1,3s.8d,3D,1,,"T6298c72,LS",,
,18563.7,,5.05e+04,B,59342.51,59881.196,3s.8p,3P*,0,3s.8d,3D,1,,"T6298c72,LS",,
,18563.7,,2.52e+03,C+,59342.51,59881.196,3s.8p,3P*,2,3s.8d,3D,1,,"T6298c72,LS",,
