obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
888.218,0.002,888.2176,0.0024,2*,1.59e+03,B,62053.7385,73309.15,1s2.2s.3d,3D,1,1s2.2s.8p,3P*,2,,u28,L483,
888.218,0.002,888.2179,0.0024,2*,2.39e+04,B,62053.742,73309.15,1s2.2s.3d,3D,2,1s2.2s.8p,3P*,2,,u28,L483,
,,897.919,0.007,,2.13e+06,B,60187.4434,71321.25,1s2.2s.3p,1P*,1,1s2.2s.6s,1S,0,,u28,,
919.045,0.002,919.045,0.003,3*,1.79e+05,A,62053.742,72931.62,1s2.2s.3d,3D,3,1s2.2s.7f,3F*,3,,u28,L483,
919.045,0.002,919.045,0.003,3*,1.35e+06,A,62053.7385,72931.61,1s2.2s.3d,3D,1,1s2.2s.7f,3F*,2,,u28,L483,
919.045,0.002,919.045,0.003,3*,1.43e+06,A,62053.742,72931.62,1s2.2s.3d,3D,2,1s2.2s.7f,3F*,3,,u28,L483,
919.045,0.002,919.046,0.003,3*,2.50e+05,A,62053.742,72931.61,1s2.2s.3d,3D,2,1s2.2s.7f,3F*,2,,u28,L483,
919.045,0.002,919.046,0.003,3*,7.15e+03,A,62053.742,72931.61,1s2.2s.3d,3D,3,1s2.2s.7f,3F*,2,,u28,L483,
919.045,0.002,919.05,0.07,3*,,,62053.742,72931.6,1s2.2s.3d,3D,3,1s2.2s.7f,3F*,4,,,L483,
924.3916,0.0020,924.3912,0.0020,5w,9.48e+05,B,60187.4434,71002.406,1s2.2s.3p,1P*,1,1s2.2s.5d,1D,2,,u28,L4743,
939.274,0.002,939.274,0.003,3*,2.08e+05,B,62053.742,72697.34,1s2.2s.3d,3D,3,1s2.2s.7p,3P*,2,,u28,L483,
939.274,0.002,939.274,0.003,3*,3.71e+04,B,62053.742,72697.34,1s2.2s.3d,3D,2,1s2.2s.7p,3P*,2,,u28,L483,
939.274,0.002,939.274,0.004,3*,6.19e+04,B,62053.7385,72697.34,1s2.2s.3d,3D,1,1s2.2s.7p,3P*,1,,u28,L483,
939.274,0.002,939.274,0.004,3*,1.86e+05,B,62053.742,72697.34,1s2.2s.3d,3D,2,1s2.2s.7p,3P*,1,,u28,L483,
939.274,0.002,939.274,0.003,3*,2.47e+03,B,62053.7385,72697.34,1s2.2s.3d,3D,1,1s2.2s.7p,3P*,2,,u28,L483,
939.274,0.002,939.275,0.005,3*,2.47e+05,B,62053.7385,72697.33,1s2.2s.3d,3D,1,1s2.2s.7p,3P*,0,,u28,L483,
984.732,0.005,984.733,0.003,7,5.2e+05,D,56882.5474,67034.80,1s2.2p2,1D,2,1s2.2s.4p,1P*,1,,u28,L4743,
989.563,0.005,989.562,0.004,3w*,5.29e+05,B,58907.472,69010.18,1s2.2s.3p,3P*,0,1s2.2s.5s,3S,1,,u28,L4743,
989.563,0.005,989.562,0.004,3w*,1.59e+06,B,58907.472,69010.18,1s2.2s.3p,3P*,1,1s2.2s.5s,3S,1,,u28,,
989.596,0.005,989.598,0.004,5w,2.65e+06,B,58907.839,69010.18,1s2.2s.3p,3P*,2,1s2.2s.5s,3S,1,,u28,L4743,
993.978,0.002,993.978,0.003,5*,2.52e+06,B,62053.742,72111.57,1s2.2s.3d,3D,2,1s2.2s.6f,3F*,3,,u28,L483,
993.978,0.002,993.978,0.003,5*,4.41e+05,B,62053.742,72111.57,1s2.2s.3d,3D,2,1s2.2s.6f,3F*,2,,u28,L483,
993.978,0.002,993.978,0.003,5*,1.26e+04,B,62053.742,72111.57,1s2.2s.3d,3D,3,1s2.2s.6f,3F*,2,,u28,L483,
993.978,0.002,993.978,0.003,5*,2.37e+06,B,62053.7385,72111.57,1s2.2s.3d,3D,1,1s2.2s.6f,3F*,2,,u28,L483,
993.978,0.002,993.978,0.003,5*,3.15e+05,B,62053.742,72111.57,1s2.2s.3d,3D,3,1s2.2s.6f,3F*,3,,u28,L483,
993.978,0.002,993.97,0.10,5*,,,62053.742,72111.6,1s2.2s.3d,3D,3,1s2.2s.6f,3F*,4,,,L483,
1033.103,0.002,1033.103,0.003,5*,1.05e+05,B,62053.7385,71730.66,1s2.2s.3d,3D,1,1s2.2s.6p,3P*,1,,u28,L483,
1033.103,0.002,1033.103,0.003,5*,4.19e+03,B,62053.7385,71730.66,1s2.2s.3d,3D,1,1s2.2s.6p,3P*,2,,u28,L483,
1033.103,0.002,1033.104,0.003,5*,6.28e+04,B,62053.742,71730.66,1s2.2s.3d,3D,2,1s2.2s.6p,3P*,2,,u28,L483,
1033.103,0.002,1033.1037,0.0021,5*,3.51e+05,B,62053.742,71730.66,1s2.2s.3d,3D,3,1s2.2s.6p,3P*,2,,u28,L483,
1033.103,0.002,1033.104,0.003,5*,3.14e+05,B,62053.742,71730.66,1s2.2s.3d,3D,2,1s2.2s.6p,3P*,1,,u28,L483,
1033.103,0.002,1033.106,0.005,5*,4.19e+05,B,62053.7385,71730.64,1s2.2s.3d,3D,1,1s2.2s.6p,3P*,0,,u28,L483,
,,1076.02,0.06,,8.69e+04,C,64428.4032,[73719.4],1s2.2s.3d,1D,2,1s2.2s.9p,1P*,1,,u28,,
,,1094.408,0.008,,4.08e+06,B,60187.4434,69322.30,1s2.2s.3p,1P*,1,1s2.2s.5s,1S,0,,u28,,
1106.606,0.005,1106.605,0.006,7*,3.26e+06,B,58907.472,67941.65,1s2.2s.3p,3P*,1,1s2.2s.4d,3D,2,,u28,,
