obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
400.3704,400.3688+,65,3.1e+05,B,5621.04,30590.95,5d3.6s2,a 4F,9/2,,305*,7/2,,T4976,"L7593,L3475",
400.6835,400.6825+,190,7.6e+05,B,2010.10,26960.46,5d3.6s2,a 4F,5/2,,269*,7/2,,T4976,"L7593,L3475",
402.6944,402.6936+,190,3.60e+06,B+,6068.91,30894.67,5d3.6s2,a 4P,3/2,5d3.6s.(5P).6p,z 4S*,3/2,,T4976,"L7593,L3475",
402.994,402.9928+,140,2.8e+06,C+,10690.32,35497.65,5d3.6s2,a 2G,9/2,,354*,9/2,,T4976,"L182,L3475",
403.0668,403.0675+,50,2.3e+05,C+,3963.92,28766.65,5d3.6s2,a 4F,7/2,5d3.6s.(5F).6p,z 6D*,9/2,,T4976,L7593,
404.087,404.0866+,120,7.3e+05,C+,5621.04,30361.22,5d3.6s2,a 4F,9/2,5d3.6s.(5F).6p,z 6F*,11/2,,T4976,"L7593,L3475",
406.1399,406.1377+,410,6.5e+06,B+,6049.42,30664.66,5d3.6s2,a 4P,1/2,5d3.6s.(5P).6p,y 6D*,3/2,,T4976,"L7593,L3475",
406.463,406.4595+,210,3.83e+06,B+,6068.91,30664.66,5d3.6s2,a 4P,3/2,5d3.6s.(5P).6p,y 6D*,3/2,,T4976,"L182,L3475",
406.7235,406.7211+,100,6.8e+05,C+,2010.10,26590.03,5d3.6s2,a 4F,5/2,5d2.6s2.(3P).6p,z 4P*?,3/2,,T4976,"L7593,L3475",
406.7908,406.7890+,310,8.4e+05,C+,2010.10,26585.93,5d3.6s2,a 4F,5/2,5d3.6s.(5F).6p,z 6F*,7/2,,T4976,"L7593,L3475",
409.7188,409.7177+,40,2.1e+05,D+,5621.04,30021.20,5d3.6s2,a 4F,9/2,,300*,9/2,,T4976,"L7593,L3475",
410.5021,410.5012+,120,1.13e+06,B,2010.10,26363.69,5d3.6s2,a 4F,5/2,5d3.6s.(5F).6p,y 4D*,3/2,,T4976,"L7593,L3475",
412.9378,412.9394+,210,,,13351.45,37561.25,5d4.(5D).6s,a 6D,9/2,,375*,7/2,,,"L7593,L3475",
413.6198,413.6201+,230,1.82e+06,B+,3963.92,28133.88,5d3.6s2,a 4F,7/2,5d3.6s.(5F).6p,y 4D*,5/2,,T4976,"L7593,L3475",
414.7891,414.7879+,230,1.79e+06,B+,5621.04,29722.95,5d3.6s2,a 4F,9/2,,297*,7/2,,T4976,"L7593,L3475",
