obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""384.830""","=""0.010""","=""384.83087+""","=""190*""","=""""",,"=""24823.482""","=""50801.556""","=""4d4.5s2""","=""a 3H""","=""6""","=""""","=""37*""","=""5""",,"=""""","=""L3475""",
"=""385.1986""","=""0.0010""","=""385.19857+""","=""75""","=""1.78e+07""",B,"=""25905.490""","=""51858.766""","=""4d5.(4F).5s""","=""a 5F""","=""5""","=""""","=""47*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""386.4103""","=""0.0010""","=""386.41038+""","=""29000""","=""6.24e+07""",A,"=""0.000""","=""25871.887""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d5.(6S).5p""","=""z 7P*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""386.6691""","=""0.0010""","=""386.66905+""","=""35""","=""1.74e+07""",B,"=""25820.622""","=""51675.202""","=""4d6""","=""c 5D""","=""1""","=""""","=""44*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""386.7670""","=""0.0010""","=""386.76694+""","=""23""","=""2.22e+07""",B,"=""27093.242""","=""52941.278""","=""4d5.(2F).5s""","=""b 3F""","=""2""","=""""","=""65*""","=""1""",,"=""T5293""","=""L10250""",
"=""386.9081""","=""0.0010""","=""386.90814+""","=""580""","=""1.35e+07""",A,"=""11454.362""","=""37292.965""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""1""",,"=""T5293""","=""L10250,L3475""",
"=""387.4154""","=""0.0010""","=""387.41547+""","=""33""","=""1.67e+07""",B,"=""26638.742""","=""52443.510""","=""4d5.(2D).5s""","=""b 3D""","=""3""","=""""","=""58*""","=""2""",,"=""T5293""","=""L10250""",
"=""388.6821""","=""0.0010""","=""388.68212+""","=""580""","=""9.7e+06""",A,"=""11858.498""","=""37579.174""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""390.1769""","=""0.0010""","=""390.17696+""","=""380""","=""5.13e+06""",A,"=""12346.280""","=""37968.418""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""390.2953""","=""0.0010""","=""390.29533+""","=""19000""","=""6.17e+07""",A,"=""0.000""","=""25614.367""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d5.(6S).5p""","=""z 7P*""","=""2""",,"=""T5293""","=""L10250,L3475""",
