obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
577.767,,17308.0,50c,,,,,,,L3475,
578.194,,17295.2,17,,,,,,,L3475,
578.914,,17273.7,85,,,,,,,L3475,
579.140,,17267.0,17,,,,,,,L3475,
579.585,,17253.7,50,,,,,,,L3475,
580.564,,17224.6,50,,,,,,,L3475,
581.694,,17191.2,29w,,,,,,,L3475,
582.104,,17179.1,110,,,,,,,L3475,
582.223,,17175.5,35,,,,,,,L3475,
583.652,,17133.5,75,,,,,,,L3475,
583.977,,17124.0,25,,,,,,,L3475,
584.026,,17122.5,130bl,,,,,,,L3475,
584.409,,17111.3,50,,,,,,,L3475,
584.771,,17100.7,17,,,,,,,L3475,
586.810,,17041.3,65,,,,,,,L3475,
587.633,,17017.4,35,,,,,,,L3475,
587.942,,17008.5,17,,,,,,,L3475,
589.507,,16963.3,40,,,,,,,L3475,
590.226,,16942.7,"190c,w",,,,,,,L3475,
590.544,,16933.6,40c,,,,,,,L3475,
592.905,,16866.1,29,,,,,,,L3475,
593.580,,16846.9,40c,,,,,,,L3475,
595.935,,16780.4,40,,,,,,,L3475,
598.488,,16708.8,150,,,,,,,L3475,
598.774,,16700.8,65,,,,,,,L3475,
599.959,,16667.8,"85c,w",,,,,,,L3475,
603.142,,16579.8,50,,,,,,,L3475,
603.351,,16574.1,50,,,,,,,L3475,
604.717,,16536.7,50,,,,,,,L3475,
605.039,,16527.8,25,,,,,,,L3475,
605.833,,16506.2,29,,,,,,,L3475,
610.940,,16368.2,29,,,,,,,L3475,
614.421,,16275.5,40,,,,,,,L3475,
614.983,,16260.6,50,,,,,,,L3475,
616.603,,16217.9,50,,,,,,,L3475,
621.478,,16090.7,29,,,,,,,L3475,
622.368,,16067.7,75,,,,,,,L3475,
625.349,,15991.1,40c,,,,,,,L3475,
626.250,,15968.1,21,,,,,,,L3475,
643.224,,15546.69,85c,,,,,,,L3475,
643.500,,15540.02,50c,,,,,,,L3475,
649.964,,15385.48,17,,,,,,,L3475,
654.642,,15275.53,65,,,,,,,L3475,
657.655,,15205.55,15,,,,,,,L3475,
659.282,,15168.02,"19c,w",,,,,,,L3475,
660.798,,15133.21,19,,,,,,,L3475,
660.910,,15130.64,19,,,,,,,L3475,
661.598,,15114.93,35,,,,,,,L3475,
662.881,,15085.66,19,,,,,,,L3475,
666.268,,15008.98,"210c,w",,,,,,,L3475,
667.917,,14971.91,"150c,w",,,,,,,L3475,
670.305,,14918.58,65,,,,,,,L3475,
672.548,,14868.84,130c,,,,,,,L3475,
674.174,,14832.96,75,,,,,,,L3475,
679.719,,14711.97,25,,,,,,,L3475,
682.999,,14641.30,85,,,,,,,L3475,
685.124,,14595.90,25c,,,,,,,L3475,
687.282,,14550.08,19,,,,,,,L3475,
687.826,,14538.57,40,,,,,,,L3475,
690.479,,14482.69,25c,,,,,,,L3475,
690.998,,14471.83,35,,,,,,,L3475,
692.023,,14450.39,40,,,,,,,L3475,
694.799,,14392.66,17,,,,,,,L3475,
697.441,,14338.12,17,,,,,,,L3475,
698.802,,14310.21,25,,,,,,,L3475,
699.225,,14301.55,85,,,,,,,L3475,
699.804,,14289.72,17c,,,,,,,L3475,
702.542,,14234.03,21,,,,,,,L3475,
703.998,,14204.58,17,,,,,,,L3475,
704.875,,14186.91,190c,,,,,,,L3475,
706.836,,14147.56,8,,,,,,,L3475,
707.718,,14129.92,8,,,,,,,L3475,
710.090,,14082.73,40c,,,,,,,L3475,
710.397,,14076.64,"17c,w",,,,,,,L3475,
712.127,,14042.43,19,,,,,,,L3475,
712.491,,14035.26,15,,,,,,,L3475,
712.813,,14028.92,35,,,,,,,L3475,
713.203,,14021.26,17,,,,,,,L3475,
716.140,,13963.74,130,,,,,,,L3475,
719.335,,13901.72,17,,,,,,,L3475,
721.093,,13867.84,19c,,,,,,,L3475,
725.435,,13784.84,50,,,,,,,L3475,
727.681,,13742.28,15,,,,,,,L3475,
731.905,,13662.98,13,,,,,,,L3475,
732.594,,13650.13,17c,,,,,,,L3475,
733.040,,13641.82,"29c,w",,,,,,,L3475,
735.519,,13595.85,65c,,,,,,,L3475,
737.453,,13560.18,"190c,w",,,,,,,L3475,
742.187,,13473.69,13,,,,,,,L3475,
743.807,,13444.35,15,,,,,,,L3475,
748.026,,13368.52,19,,,,,,,L3475,
751.800,,13301.41,65,,,,,,,L3475,
752.184,,13294.62,29c,,,,,,,L3475,
757.667,,13198.42,170c,,,,,,,L3475,
758.530,,13183.40,17c,,,,,,,L3475,
764.191,,13085.73,13,,,,,,,L3475,
764.982,,13072.21,13,,,,,,,L3475,
770.545,,12977.83,25,,,,,,,L3475,
772.881,,12938.61,75c,,,,,,,L3475,
775.944,,12887.52,25,,,,,,,L3475,
778.925,,12838.20,6,,,,,,,L3475,
787.558,,12697.48,"13c,w",,,,,,,L3475,
788.748,,12678.32,35,,,,,,,L3475,
794.107,,12592.76,25,,,,,,,L3475,
795.695,,12567.63,8,,,,,,,L3475,
813.744,,12288.88,40,,,,,,,L3475,
824.227,,12132.59,"13c,w",,,,,,,L3475,
832.322,,12014.59,"29c,w",,,,,,,L3475,
834.837,,11978.38,29,,,,,,,L3475,
835.233,,11972.70,10,,,,,,,L3475,
844.209,,11845.41,17,,,,,,,L3475,
847.831,,11794.80,17w,,,,,,,L3475,
852.933,,11724.25,25,,,,,,,L3475,
854.960,,11696.46,13c,,,,,,,L3475,
856.289,,11678.30,17c,,,,,,,L3475,
857.823,,11657.42,17,,,,,,,L3475,
869.994,,11494.33,21c,,,,,,,L3475,
874.336,,11437.25,21,,,,,,,L3475,
877.038,,11402.02,21,,,,,,,L3475,
881.798,,11340.46,"29c,w",,,,,,,L3475,
890.823,,11225.58,35,,,,,,,L3475,
