obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
420.2976,0.0005,420.29891,23792.67,1000,1.77e+06,B+,0.000,23792.591,4p6.5s,2S,1/2,4p6.6p,2P*,3/2,2,4,,T7227,L3287,
421.6711,0.0005,421.6726,23715.16,500,1.50e+06,B,0.000,23715.081,4p6.5s,2S,1/2,4p6.6p,2P*,1/2,2,2,,T7227,L3287,
505.16,0.03,505.21,19795.7,,6.54e+06,,134250.1,154044.,4p5.5s.5p,4S,3/2,4p5.4d.(1P).5s,2P*,3/2,4,4,,T7580,L7245,
508.94056,0.00010,508.94056,19648.660,2,,,12578.950,32227.610,4p6.5p,2P*,1/2,4p6.10d,2D,3/2,2,4,,,L7459,
513.39008,0.00010,513.39009,19478.366,2,,,12816.545,32294.911,4p6.5p,2P*,3/2,4p6.12s,2S,1/2,4,2,,,L7459,
515.15686,0.00010,515.15687,19411.563,10,,,12816.545,32228.108,4p6.5p,2P*,3/2,4p6.10d,2D,5/2,4,6,,,L7459,
516.64618,0.00010,516.6450,19355.606,1,,,0.000,19355.649,4p6.5s,2S,1/2,4p6.4d,2D,3/2,2,4,M1+E2,,L7459,
516.65803,0.00010,516.6569,19355.162,2,,,0.000,19355.203,4p6.5s,2S,1/2,4p6.4d,2D,5/2,2,6,E2,,L7459,
517.1091,0.0002,517.1093,19338.279,1,,,12578.950,31917.221,4p6.5p,2P*,1/2,4p6.11s,2S,1/2,2,2,,,L3522,
519.67245,0.00010,519.6721,19242.890,15,,,12578.950,31821.855,4p6.5p,2P*,1/2,4p6.9d,2D,3/2,2,4,,,L7459,
521.91,0.03,521.90,19160.6,,2.86e+06,,134250.1,153411.,4p5.5s.5p,4S,3/2,4p5.5p2,4D*,5/2,4,6,,T7580,L7245,
523.54249,0.00010,523.5417,19100.646,2,,,12816.545,31917.221,4p6.5p,2P*,3/2,4p6.11s,2S,1/2,4,2,,,L7459,
526.14978,0.00010,526.1495,19005.995,20,,,12816.545,31822.550,4p6.5p,2P*,3/2,4p6.9d,2D,5/2,4,6,,,L7459,
526.16925,0.00010,526.1687,19005.291,1,,,12816.545,31821.855,4p6.5p,2P*,3/2,4p6.9d,2D,3/2,4,4,,,L7459,
532.38606,0.00010,532.3855,18783.362,3,,,12578.950,31362.331,4p6.5p,2P*,1/2,4p6.10s,2S,1/2,2,2,,,L7459,
536.40926,0.00010,536.4090,18642.482,40,,,12578.950,31221.440,4p6.5p,2P*,1/2,4p6.8d,2D,3/2,2,4,,,L7459,
539.20667,0.00010,539.2060,18545.765,4,,,12816.545,31362.331,4p6.5p,2P*,3/2,4p6.10s,2S,1/2,4,2,,,L7459,
543.30418,0.00010,543.3038,18405.895,75,,,12816.545,31222.453,4p6.5p,2P*,3/2,4p6.8d,2D,5/2,4,6,,,L7459,
543.33403,0.00010,543.3337,18404.884,3,,,12816.545,31221.440,4p6.5p,2P*,3/2,4p6.8d,2D,3/2,4,4,,,L7459,
553.59,0.03,553.59,18063.8,,3.27e+06,,134250.1,152314.,4p5.5s.5p,4S,3/2,4p5.5s.(1P).6s,2P*,1/2,4,2,,T7580,L7245,
558.03371,0.00010,558.0332,17920.064,6,,,12578.950,30499.031,4p6.5p,2P*,1/2,4p6.9s,2S,1/2,2,2,,,L7459,
564.93410,0.00010,564.9346,17701.180,40,,,12578.950,30280.113,4p6.5p,2P*,1/2,4p6.7d,2D,3/2,2,4,,,L7459,
565.53191,0.00010,565.5313,17682.468,20,,,12816.545,30499.031,4p6.5p,2P*,3/2,4p6.9s,2S,1/2,4,2,,,L7459,
572.57087,0.00010,572.5713,17465.087,60,,,12816.545,30281.620,4p6.5p,2P*,3/2,4p6.7d,2D,5/2,4,6,,,L7459,
572.62024,0.00010,572.6207,17463.581,3,,,12816.545,30280.113,4p6.5p,2P*,3/2,4p6.7d,2D,3/2,4,4,,,L7459,
586.15,0.03,586.17,17060.4,,9.71e+06,,134250.1,151310.,4p5.5s.5p,4S,3/2,4p5.5s.6s,4P*,3/2,4,4,,T7580,L7245,
607.24355,0.00010,607.2432,16467.857,75,,,12578.950,29046.816,4p6.5p,2P*,1/2,4p6.8s,2S,1/2,2,2,,,L7459,
612.08,0.04,612.04,16337.8,,2.97e+07,,134250.1,150589.,4p5.5s.5p,4S,3/2,4p5.5s.6s,4P*,5/2,4,6,,T7580,L7245,
616.13310,0.00010,616.1327,16230.259,30c,,,12816.545,29046.816,4p6.5p,2P*,3/2,4p6.8s,2S,1/2,4,2,,,L7459,
620.80263,0.00010,620.8027,16108.179,75c,2.948e+06,,12578.950,28687.127,4p6.5p,2P*,1/2,4p6.6d,2D,3/2,2,4,,T7712,L7459,
