obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""150.0083""","=""0.0005""","=""150.0085""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66678.18""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.21d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.0318""","=""0.0005""","=""150.0318""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66652.54""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.20d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.0662""","=""0.0005""","=""150.0662""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66652.54""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.20d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.0989""","=""0.0005""","=""150.0989""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66622.73""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.19d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.1334""","=""0.0005""","=""150.1334""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66622.73""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.19d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.1777""","=""0.0005""","=""150.1777""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66587.80""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.18d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.2121""","=""0.0005""","=""150.2121""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66587.80""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.18d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.2709""","=""0.0005""","=""150.2709""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66546.49""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.17d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.3054""","=""0.0005""","=""150.3054""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66546.49""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.17d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.3824""","=""0.0005""","=""150.3824""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66497.16""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.16d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.4169""","=""0.0005""","=""150.4169""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66497.16""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.16d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.5171""","=""0.0005""","=""150.5171""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66437.64""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.15d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.5517""","=""0.0005""","=""150.5517""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66437.64""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.15d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.6820""","=""0.0005""","=""150.6820""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66364.91""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.14d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.7168""","=""0.0005""","=""150.7168""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66364.91""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.14d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.8872""","=""0.0005""","=""150.8872""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66274.68""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.13d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""150.9220""","=""0.0005""","=""150.9220""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66274.68""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.13d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.1465""","=""0.0005""","=""151.1466""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66160.94""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.12d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.1816""","=""0.0005""","=""151.1815""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66160.94""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.12d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.4816""","=""0.0005""","=""151.4817""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66014.59""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.11d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.5168""","=""0.0005""","=""151.5168""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66014.59""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.11d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.9246""","=""0.0005""","=""151.9246""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""65822.14""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.10d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""151.9598""","=""0.0005""","=""151.9599""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""65822.14""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.10d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""152.4170""","=""0.0005""","=""152.4172""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""65609.38""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.10s""","=""2S""","=""1/2""",,"=""""","=""L2166""",
"=""152.4530""","=""0.0005""","=""152.4528""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""65609.38""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.10s""","=""2S""","=""1/2""",,"=""""","=""L2166""",
"=""152.5281""","=""0.0005""","=""152.5281""","=""0.0004""","=""1""","=""""",,"=""0.0000""","=""65561.68""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.9d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""152.5637""","=""0.0005""","=""152.5637""","=""0.0004""","=""1""","=""""",,"=""15.287""","=""65561.68""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.9d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""153.2094""","=""0.0005""","=""153.2093""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""65270.19""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.9s""","=""2S""","=""1/2""",,"=""""","=""L2166""",
"=""153.2451""","=""0.0005""","=""153.2452""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""65270.19""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.9s""","=""2S""","=""1/2""",,"=""""","=""L2166""",
"=""153.3806""","=""0.0005""","=""153.3806""","=""0.0004""","=""2""","=""1.20e+07""",C+,"=""0.0000""","=""65197.29""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""L2166""",
