obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
370.993,370.99290+,1000,2.63e+07,B+,987.611,27934.638,4f.(2F*).5d2.(3F),*,9/2,4f.5d.(3H*).6p,,9/2,,T8629,L3475,
371.637,371.63660+,1400,3.10e+07,B+,0.000,26900.354,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(3H*).6p,,7/2,,T8629,L3475,
371.819,371.81885+,420,,,1410.304,28297.473,4f.(2F*).5d2.(3F),4I*,9/2,4f.5d.(3G*).6p,4H,7/2,,,L3475,
371.838,371.83783+,420,,,4203.934,31089.731,4f.(2F*).5d2.(3F),4H*,13/2,4f.5d.(3F*).6p,4G,11/2,,,L3475,
371.980,371.97913+,210,8.0e+06,B,2563.233,29438.817,4f.(2F*).5d2.(3F),4I*,11/2,4f.5d.(3H*).6p,,11/2,,T8629,L3475,
372.568,372.56026+,420*,1.28e+06,C+,3995.460,30829.124,4f.5d.(3H*).6s,4H*,7/2,4f.5d.(3G*).6p,,7/2,,T8629,L3475,
372.568,372.56728+,420*,2.00e+07,C+,5969.007,32802.165,4f.(2F*).5d2.(1G),*,11/2,4f.5d.(3H*).6p,2I,11/2,,T8629,L3475,
372.802,372.80185+,490,2.90e+07,B,5675.763,32492.038,4f.5d.(3F*).6s,4F*,9/2,4f.5d.(3G*).6p,,11/2,,T8629,L3475,
372.842,372.84173+,800,4.31e+07,B+,5455.845,32269.252,4f.(2F*).5d2.(3F),4I*,15/2,4f.5d.(3H*).6p,4I,15/2,,T8629,L3475,
374.806,374.80547+,320,1.78e+07,B+,5819.113,32492.038,4f.5d.(3G*).6s,*,9/2,4f.5d.(3G*).6p,,11/2,,T8629,L3475,
375.145,375.14454+,250,,,10274.971,36923.789,4f.5d.(1F*).6s,2F*,7/2,4f.5d.(1H*).6p,,9/2,,,L3475,
375.543,375.54185+,200,,,3363.427,29984.052,4f.5d.(3F*).6s,4F*,5/2,4f.5d.(3F*).6p,,3/2,,,L3475,
