obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
264.356,0.003,264.3564,0.0021,880bl(Sn III),,,71406.142,109222.6,5s2.5d,2D,3/2,5s2.10p,2P*,1/2,,,L17864,
266.499,0.010,266.496,0.003,860,1.4e+07,D+,71493.273,109006.1,5s2.6p,2P*,1/2,5s2.9d,2D,3/2,,T9352,L3368,
271.186,0.003,271.185,0.003,220,,,71493.273,108357.6,5s2.6p,2P*,1/2,5s2.10s,2S,1/2,,,L17864,
272.776,0.003,272.7834,0.0011,400,1.6e+07,D+,72377.4484,109025.72,5s2.6p,2P*,3/2,5s2.9d,2D,5/2,,T9352,L17864,
277.84,0.03,277.849,0.003,180,,,72377.4484,108357.6,5s2.6p,2P*,3/2,5s2.10s,2S,1/2,,,L3368,
282.551,0.003,282.54849,0.00007,240,1.11e+06,C+,56886.363,92268.106,5s2.6s,2S,1/2,5s2.7p,2P*,3/2,,T8718,L17864,
286.861,0.003,286.8577,0.0025,210,,,71406.142,106256.4,5s2.5d,2D,3/2,5s2.9p,2P*,1/2,,,L17864,
291.282,0.010,291.274,0.003,220,,,72048.260,106370.2,5s2.5d,2D,5/2,5s2.9p,2P*,3/2,,,L3368,
291.986,0.003,291.987,0.003,610,2.4e+07,D+,71493.273,105731.3,5s2.6p,2P*,1/2,5s2.8d,2D,3/2,,T9352,L17864,
294.330,0.003,294.330,0.003,190,,,71406.142,105371.7,5s2.5d,2D,3/2,5s2.6f,2F*,5/2,,,L17864,
294.954,0.003,294.9533,0.0017,400,,,90351.894,124245.66,5s2.6d,2D,5/2,5s.5p.(3P*).5d,4P*,3/2,,,L17864,
299.099,0.003,299.09965,0.00008,220,9.1e+05,C+,58844.181,92268.106,5s.5p2,2D,3/2,5s2.7p,2P*,3/2,,T8718,L17864,
299.446,0.003,299.4451,0.0021,790,2.7e+07,D+,72377.4484,105762.82,5s2.6p,2P*,3/2,5s2.8d,2D,5/2,,T9352,L17864,
299.71,0.03,299.728,0.003,110,,,72377.4484,105731.3,5s2.6p,2P*,3/2,5s2.8d,2D,3/2,,,L3368,
301.241,0.005,301.2519,0.0009,260,,,71493.273,104678.41,5s2.6p,2P*,1/2,5s2.9s,2S,1/2,,,L17864,
302.392,0.003,302.39444,0.00014,450,7.8e+06,C+,58844.181,91903.945,5s.5p2,2D,3/2,5s2.7p,2P*,1/2,,T8718,L17864,
304.744,0.003,304.74642,0.00009,680,6.8e+06,B+,59463.481,92268.106,5s.5p2,2D,5/2,5s2.7p,2P*,3/2,,T8718,L17864,
309.468,0.011,309.4985,0.0009,930,,,72377.4484,104678.41,5s2.6p,2P*,3/2,5s2.9s,2S,1/2,,,L3368,
310.125,0.016,310.140,0.004,480,,,81718.3,113952.44,5s.5p2,2P,3/2,5s.5p.(3P*).6s,2P*,1/2,,,L17864,
328.31399,0.00009,328.31399,0.00006,15000,1.70e+08,B+,58844.181,89294.055,5s.5p2,2D,3/2,5s2.4f,2F*,5/2,,T8718,L3149,
335.13,,335.13021,0.00008,13000:,1.21e+07,B+,59463.481,89294.055,5s.5p2,2D,5/2,5s2.4f,2F*,5/2,,T8718,L18529,
335.19523,0.00012,335.19538,0.00008,13000,1.82e+08,B+,59463.481,89288.255,5s.5p2,2D,5/2,5s2.4f,2F*,7/2,,T8718,L3149,
335.55,0.03,335.496,0.005,87,,,71406.142,101204.2,5s2.5d,2D,3/2,5s2.8p,2P*,1/2,,,L3368,
340.741,0.012,340.7442,0.0019,350,,,72048.260,101387.37,5s2.5d,2D,5/2,5s2.8p,2P*,3/2,,,L3368,
347.2333,0.0003,347.23329,0.00012,1700,4.5e+07,D+,71493.273,100284.111,5s2.6p,2P*,1/2,5s2.7d,2D,3/2,,T9352,L3149,
353.747,0.013,353.75363,0.00013,660,3.6e+06,D,71406.142,99666.327,5s2.5d,2D,3/2,5s2.5f,2F*,5/2,,T7306,L3368,
357.53255,0.00012,357.53255,0.00012,2100,5.0e+07,D+,72377.4484,100338.947,5s2.6p,2P*,3/2,5s2.7d,2D,5/2,,T9352,L3149,
