Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""","=""""","=""135664.5204""","=""""","=""0.0015""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<3/2>).6s""","=""2[3/2]""","=""2""","=""""","=""135760.1548""","=""""","=""0.0016""","=""""","=""  99                                    :                                      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3D*""","=""3""","=""""","=""135733.433""","=""""","=""0.003""","=""""","=""  26  3d8.(3P).4s.4p.(3P*) 3D*          :    14  3d8.(3F).4s.4p.(1P*) 3F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3D*""","=""2""","=""""","=""136800.137""","=""""","=""0.003""","=""""","=""  41                                    :    18  3d8.(3P).4s.4p.(3P*) 1D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3D*""","=""1""","=""""","=""137913.450""","=""""","=""0.004""","=""""","=""  28                                    :    16  3d9.4f               3D*      ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[1/2]*""","=""1""","=""""","=""135863.6857""","=""""","=""0.0016""","=""""","=""  97                                    :     2  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[1/2]*""","=""0""","=""""","=""135902.1365""","=""""","=""0.0023""","=""""","=""  94                                    :     4  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""2""","=""""","=""135910.7245""","=""""","=""0.0011""","=""""","=""  94                                    :     4  3d9.(2D<5/2>).4f     2[5/2]*  ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""1""","=""""","=""135958.1919""","=""""","=""0.0016""","=""""","=""  97                                    :     2  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[11/2]*""","=""6""","=""""","=""135931.01412""","=""""","=""0.0012""","=""""","=""  99                                    :     1  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[11/2]*""","=""5""","=""""","=""135933.89499""","=""""","=""0.0019""","=""""","=""  98                                    :     1  3d8.4s.4p                     ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5S*""","=""2""","=""""","=""135952.279""","=""""","=""0.005""","=""""","=""  83                                    :     4  3d9.4f               1D*      ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[7/2]*""","=""3""","=""""","=""135989.9176""","=""""","=""0.0012""","=""""","=""  41                                    :    37  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[7/2]*""","=""4""","=""""","=""136132.77781""","=""""","=""0.0010""","=""""","=""  88                                    :     8  3d9.(2D<5/2>).4f     2[9/2]*  ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[5/2]*""","=""2""","=""""","=""136013.9671""","=""""","=""0.0011""","=""""","=""  84                                    :     9  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[5/2]*""","=""3""","=""""","=""136035.3328""","=""""","=""0.0010""","=""""","=""  86                                    :    11  3d9.(2D<5/2>).4f     2[7/2]*  ""","=""L19804"""
"=""3d9.(2D<5/2>).4f""","=""2[9/2]*""","=""5""","=""""","=""136160.61825""","=""""","=""0.0011""","=""""","=""  98                                    :     2  3d8.4s.4p                     ""","=""L19804"""
