Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,,17/2,18,,46915.510,,,1.050,                                   ,
,,13/2,14,,47050.810,,,1.220,                                   ,
,,15/2,16,,47162.334,,,1.075,                                   ,
,,17/2,18,,47174.273,,,1.205,                                   ,
,,19/2,20,,47426.638,,,1.215,                                   ,
,,15/2,16,,47466.969,,,1.190,                                   ,
,,19/2,20,,47786.901,,,1.155,                                   ,
,,13/2,14,,47840.962,,,1.125,                                   ,
,,11/2,12,,47847.615,,,1.050,                                   ,
,,15/2,16,,48151.388,,,1.075,                                   ,
,,13/2,14,,48525.666,,,1.165,                                   ,
,,9/2,10,,48607.416,,,1.195,                                   ,
,,17/2,18,,48676.243,,,1.205,                                   ,
,,19/2,20,,48788.988,,,1.230,                                   ,
,,13/2,14,,49005.981,,,1.185,                                   ,
,,13/2,14,,49091.098,,,1.035,                                   ,
,,15/2,16,,49378.255,,,1.175,                                   ,
,,15/2,16,,49660.227,,,1.195,                                   ,
,,13/2,14,,50115.664,,,1.150,                                   ,
,,15/2,16,,50246.395,,,1.080,                                   ,
,,11/2,12,,50387.772,,,1.160,                                   ,
,,15/2,16,,50451.958,,,1.135,                                   ,
,,13/2,14,,50457.727,,,1.030,                                   ,
,,13/2,14,,50850.345,,,1.015,                                   ,
,,15/2,16,,51010.412,,,1.040,                                   ,
,,11/2,12,,51037.663,,,1.070,                                   ,
,,15/2,16,,51103.871,,,1.100,                                   ,
,,13/2,14,,51574.835,,,1.075,                                   ,
,,15/2,16,,51606.662,,,1.045,                                   ,
,,13/2,14,,52247.929,,,0.980,                                   ,
,,17/2,18,,52392.832,,,1.135,                                   ,
,,15/2,16,,52996.133,,,1.130,                                   ,
,,13/2,14,,53891.761,,,1.120,                                   ,
,,13/2,14,,54387.255,,,1.175,                                   ,
,,15/2,16,,55316.342,,,1.145,                                   ,
Er III (4f12.5p6 3H<6>),Limit,---,,[,96110,],160,,                                   ,L19870c180
