Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).9d,2[1/2]*,1,3,,172565.93,,0.05,L8826
2s2.2p5.(2P*<3/2>).9d,2[7/2]*,4,9,,172567.857,,0.005,L8826
2s2.2p5.(2P*<3/2>).9d,2[7/2]*,3,7,,172568.083,,0.005,L8826
2s2.2p5.(2P*<3/2>).9d,2[3/2]*,2,5,,172569.40,,0.04,L8826
2s2.2p5.(2P*<3/2>).9d,2[3/2]*,1,3,,172570.83,,0.05,L8826
2s2.2p5.(2P*<3/2>).9d,2[5/2]*,2,5,,172572.12,,0.06,L8826
2s2.2p5.(2P*<3/2>).9d,2[5/2]*,3,7,,172572.22,,0.06,L8826
2s2.2p5.(2P*<1/2>).8p,2[3/2],2,5,,172573.1,,0.5,L8826
2s2.2p5.(2P*<3/2>).9f,2[9/2],5,11,,172573.80,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[9/2],4,9,,172573.86,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[5/2],3,7,,172574.82,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[5/2],2,5,,172574.82,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[7/2],4,9,,172575.36,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[7/2],3,7,,172575.36,,0.12,L8826
2s2.2p5.(2P*<3/2>).10p,2[1/2],1,3,,172619.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[1/2],0,1,,172665.1,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[5/2],3,7,,172623.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[3/2],1,3,,172630.1,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[3/2],2,5,,172630.4,,0.3,L8826
2s2.2p5.(2P*<3/2>).11s,2[3/2]*,2,5,,172759.82,,0.06,L8826
2s2.2p5.(2P*<3/2>).11s,2[3/2]*,1,3,,172764.60,,0.05,L8826
2s2.2p5.(2P*<3/2>).10d,2[1/2]*,0,1,,172824.57,,0.12,L8826
2s2.2p5.(2P*<3/2>).10d,2[1/2]*,1,3,,172825.54,,0.13,L8826
2s2.2p5.(2P*<3/2>).10d,2[7/2]*,4,9,,172827.13,,0.11,L8826
2s2.2p5.(2P*<3/2>).10d,2[7/2]*,3,7,,172827.35,,0.10,L8826
2s2.2p5.(2P*<3/2>).10d,2[3/2]*,2,5,,172827.93,,0.08,L8826
2s2.2p5.(2P*<3/2>).10d,2[3/2]*,1,3,,172829.30,,0.07,L8826
2s2.2p5.(2P*<3/2>).10d,2[5/2]*,2,5,,172830.20,,0.08,L8826
2s2.2p5.(2P*<3/2>).10d,2[5/2]*,3,7,,172830.25,,0.08,L8826
2s2.2p5.(2P*<1/2>).9s,2[1/2]*,0,1,,172852.13,,0.06,L8826
2s2.2p5.(2P*<1/2>).9s,2[1/2]*,1,3,,172857.00,,0.05,L8826
2s2.2p5.(2P*<3/2>).11p,2[3/2],2,5,,172871.9,,0.3,L8826
