Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
,59.1*,3,7,,52473.717,,,,
4d4.5s.(6D).6s,f 5D,4,9,,52477.60,?,,,
,60*,4,9,,52579.336,,,1.055,
,61*,5,11,,52667.220,,,1.18,
,62*,2,5,,52740.482,,,,
,63*,1,3,,52746.93,?,,,
,63.1*,6,13,,52782.806,,,,
,64*,3,7,,52902.150,,,,
,65*,1,3,,52941.278,,,,
,66*,2,5,,52964.564,,,,
,67*,4,9,,53005.644,,,1.35,
,67.1*,4,9,,53108.776,,,,
,68*,5,11,,53112.20,?,,1.40,
,69*,6,13,,53184.263,,,1.04,
,70*,5,11,,53197.855,,,1.324,
,71*,3,7,,53226.800,,,1.01,
,72*,6,13,,53290.674,,,,
,73*,3,7,,53305.671,,,,
,74*,5,11,,53327.366,,,,
,75*,4,9,,53478.799,,,,
,76*,1,3,,53482.858,,,,
,77*,2,5,,53588.674,,,1.43,
,78*,3,7,,53595.110,,,1.18,
,79*,7,15,,53636.731,,,1.125,
,80*,3,7,,53643.755,,,1.37,
,81*,3,7,,53735.839,,,,
,82*,4,9,,53800.380,,,1.49,
,83*,4,9,,53855.099,,,1.17,
,84*,5,11,,53937.694,,,1.14,
,85*,4,9,,53964.385,,,1.016,
,86*,1,3,,54184.34,?,,,
,87*,4,9,,54292.162,,,1.04,
,88*,1,3,,54341.00,?,,,
,89*,2,5,,54342.839,,,1.48,
,90*,1,3,,54531.128,,,,
,91*,1,3,,54571.814,,,0.75,
,92*,5,11,,54704.485,,,0.911,
,93*,7,15,,54738.518,,,1.10,
,94*,3,7,,54839.231,,,0.31,
,95*,3,7,,54888.968,,,0.84,
,96*,4,9,,55025.689,,,1.050,
,97*,6,13,,55139.706,,,0.968,
,98*,3,7,,55327.60,?,,,
,99*,3,7,,55352.718,,,,
,100*,5,11,,55387.359,,,1.12,
,101*,4,9,,55529.804,,,,
,102*,4,9,,55907.670,,,1.09,
,103*,5,11,,55975.853,,,1.10,
4d5.(2H).5p,y 1H*,5,11,,56161.808,,,0.96,
,104*,3,7,,56380.79,?,,0.03,
4d5.(2H).5p,z 1I*,6,13,,56716.603,,,1.00,
,105*,6,13,,56890.730,,,1.21,
,106*,4,9,,56945.788,,,,
,107*,5,11,,57029.984,,,0.98,
,108*,3,7,,57144.26,?,,,
Mo II (4d5 6S<5/2>),Limit,---,,,57204.3,,0.3,,L6829
,109*,4,9,,57818.12,,,,
,110*,4,9,,58090.10,,,,
,111*,3,7,,58192.82,,,,
,112*,6,13,,58525.71,,,1.15,
,113*,5,11,,58998.62,,,0.88,
,114*,3,7,,59236.59,,,,
,115*,2,5,,59249.76,,,,
,116*,5,11,,59436.61,,,1.07,
,117*,5,11,,59612.36,,,1.09,
,118*,5,11,,59841.11,,,0.930,
,119*,6,13,,60192.00,,,,
,120*,7,15,,61470.51,,,,
