Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",15/2,16,,29642.60,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",13/2,14,,29751.91,,,,                                                                ,L3974
,*,15/2,16,,29086.67,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,13/2,14,,29266.91,,,,                                                                ,L3974
,*,17/2,18,,29443.09,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,29465.60,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,21/2,22,,29558.07,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,8M*?,15/2,16,,29576.42,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,29692.67,,,,                                                                ,L3974
,*,15/2,16,,29834.05,,,,                                                                ,L3974
,*,15/2,16,,29979.51,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,13/2,14,,30011.00,,,,                                                                ,L3974
4f10.(5I<6>).6s2.6p<3/2>,"(6,3/2)*",15/2,16,,,,,,                                                                ,L3974
4f10.(5I<6>).6s2.6p<3/2>,"(6,3/2)*",9/2,10,,,,,,                                                                ,L3974
4f10.(5I<6>).6s2.6p<3/2>,"(6,3/2)*",13/2,14,,30029.36,,,,             or  :    39                   (5I) 6I*             ,L3974
4f10.(5I<6>).6s2.6p<3/2>,"(6,3/2)*",11/2,12,,30146.15,,,,             or  :    47                   (5I) 4I*             ,L3974
,*,15/2,16,,30049.10,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,30135.31,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,30327.49,,,,                                                                ,L3974
,*,13/2,14,,30338.72,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,30425.58,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,21/2,22,,30484.68,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,30582.15,,,,                                                                ,L3974
,*,15/2,16,,30773.59,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,30805.90,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,31018.63,,,,                                                                ,L3974
,*,15/2,16,,31042.44,,,,                                                                ,L3974
