obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""116.232""","=""0.003""","=""116.2267""","=""0.0004""","=""1800""","=""""",,"=""63038.546""","=""149077.3""","=""5s.5p""","=""1P*""","=""1""","=""5s.15s""","=""1S""","=""0""",,"=""""","=""L1143""",
"=""116.259""","=""0.003""","=""116.26230""","=""0.00009""","=""1300""","=""""",,"=""63038.546""","=""149050.95""","=""5s.5p""","=""1P*""","=""1""","=""5s.15s""","=""3S""","=""1""",,"=""""","=""L1143""",
"=""117.924""","=""0.003""","=""117.92767""","=""0.00024""","=""1500""","=""""",,"=""63038.546""","=""147836.29""","=""5s.5p""","=""1P*""","=""1""","=""5s.12d""","=""3D""","=""2""",,"=""""","=""L1143""",
"=""119.368""","=""0.003""","=""119.36494""","=""0.00013""","=""2100""","=""""",,"=""63038.546""","=""146815.24""","=""5s.5p""","=""1P*""","=""1""","=""5s.11d""","=""3D""","=""2""",,"=""""","=""L1143""",
"=""""","=""""","=""120.018680""","=""0.000012""","=""""","=""2.3e+06""",D,"=""43350.5817""","=""126670.945""","=""5s.5p""","=""3P*""","=""1""","=""5s.6d""","=""1D""","=""2""",,"=""T8104""","=""""",
"=""121.263""","=""0.003""","=""121.261017""","=""0.000009""","=""8100""","=""1.3e+08""",C,"=""42275.995245348""","=""124742.729""","=""5s.5p""","=""3P*""","=""0""","=""5s.6d""","=""3D""","=""1""",,"=""T8104""","=""L1143""",
"=""121.444""","=""0.003""","=""121.43416""","=""0.00007""","=""1900*""","=""3.0e+05""",D+,"=""63038.546""","=""145387.70""","=""5s.5p""","=""1P*""","=""1""","=""5s.10d""","=""3D""","=""2""",,"=""T9131""","=""L1143""",
"=""121.444""","=""0.003""","=""121.44110""","=""0.00006""","=""1900*""","=""1.7e+05""",D+,"=""63038.546""","=""145382.99""","=""5s.5p""","=""1P*""","=""1""","=""5s.10d""","=""3D""","=""1""",,"=""T9131""","=""L1143""",
"=""121.876""","=""0.003""","=""121.88031""","=""0.00006""","=""1600""","=""1.5e+08""",D+,"=""63038.546""","=""145086.25""","=""5s.5p""","=""1P*""","=""1""","=""5s.11s""","=""1S""","=""0""",,"=""T9131""","=""L1143""",
"=""122.824""","=""0.015""","=""122.810696""","=""0.000009""","=""8300""","=""1.7e+08""",C,"=""43350.5817""","=""124776.714""","=""5s.5p""","=""3P*""","=""1""","=""5s.6d""","=""3D""","=""2""",,"=""T8104""","=""L17265""",
